customer_state,total_orders,total_revenue,avg_review
AC,80,19575.33,4.13
AL,397,94475.18,3.82
AM,145,27668.61,4.09
AP,67,16141.81,4.26
BA,3256,593408.37,3.86
CE,1279,267267.58,3.87
DF,2080,348601.41,4.06
ES,1995,318466.51,4.02
GO,1957,337665.51,4.04
MA,717,148141.69,3.77
MG,11354,1826486.53,4.12
MS,701,136005.96,4.07
MT,886,181579.03,4.01
PA,946,212658.82,3.84
PB,517,137953.28,4.04
PE,1593,310257.5,4.02
PI,476,105259.41,3.96
PR,4923,785095.06,4.14
RJ,12350,2063593.64,3.87
RN,474,100833.26,4.11
RO,243,56966.0,4.07
RR,41,9039.52,3.89
RS,5345,865877.26,4.09
SC,3546,597067.83,4.05
SE,335,70289.13,3.9
SP,40501,5799283.95,4.18
TO,274,60007.37,4.16
